time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,target.x,target.y,target.z,target.vx,target.vy,target.vz,target.ax,target.ay,target.az,target.roll,target.pitch,target.yaw,motor.m1,motor.m2,motor.m3,motor.m4,rpm.m1,rpm.m2,rpm.m3,rpm.m4,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw
0.88,-0.04515210539102554,-0.051818132400512695,0.15104612708091736,0.0,0.0,0.0,-3.124485731124878,-4.242963790893555,-1.7499637603759766,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37003.0,43999.0,39985.0,38441.0,0,0,0,0,39732.796875,-1962.0,-4675.0,-794.0
0.9,-0.044212084263563156,-0.050003062933683395,0.156392902135849,0.0,0.0,0.0,-2.780851364135742,-4.037278175354004,-1.691954255104065,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39337.0,46231.0,42041.0,40839.0,0,0,0,0,42588.44921875,-1655.0,-838.0,-1083.0
0.92,-0.04255747050046921,-0.047485508024692535,0.1618054211139679,0.0,0.0,0.0,-2.4704861640930176,-3.727571725845337,-1.6475046873092651,0.0,0.0,0.44999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40701.0,48105.0,41537.0,39433.0,0,0,0,0,42251.80859375,-2820.0,-3391.0,-923.0
0.94,-0.04103240743279457,-0.045515477657318115,0.16375859081745148,0.0,0.0,0.0,-2.1608023643493652,-3.430492877960205,-1.6179850101470947,0.0,0.0,0.44999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39111.0,46609.0,41957.0,40311.0,0,0,0,0,41694.11328125,-1419.0,-2846.0,-1231.0
0.96,-0.03828596696257591,-0.04330969601869583,0.16929440200328827,0.0,0.0,0.0,-1.7723804712295532,-3.123157501220703,-1.5689854621887207,0.0,0.0,0.44999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37935.0,44721.0,41953.0,40759.0,0,0,0,0,40958.97265625,-558.0,-5223.0,-1288.0
0.98,-0.03556474670767784,-0.040648482739925385,0.17516131699085236,0.0,0.0,0.0,-1.3925789594650269,-2.6907460689544678,-1.5489970445632935,0.0,0.0,0.44999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39075.0,45225.0,39309.0,38627.0,0,0,0,0,40163.08203125,-2992.0,-3896.0,-1160.0
1.0,-0.03290742263197899,-0.03819754347205162,0.1816600263118744,0.0,0.0,0.0,-1.0543087720870972,-2.2705078125,-1.5306570529937744,0.0,0.0,0.44999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40982.0,45804.0,41774.0,42676.0,0,0,0,0,42457.55078125,-1242.0,-4539.0,-1402.0
1.02,-0.029861092567443848,-0.03585778549313545,0.1857052445411682,0.0,0.0,0.0,-0.6942107081413269,-1.8986977338790894,-1.5082520246505737,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39539.0,45943.0,41767.0,41147.0,0,0,0,0,41739.85546875,-1059.0,-2343.0,-1367.0
1.04,-0.0267274659126997,-0.033333078026771545,0.19283246994018555,0.0,0.0,0.0,-0.36894524097442627,-1.4637771844863892,-1.5003175735473633,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38767.0,45199.0,40955.0,40275.0,0,0,0,0,40868.1484375,-4210.0,-6271.0,-1523.0
1.06,-0.02342531457543373,-0.030643701553344727,0.20059671998023987,0.0,0.0,0.0,-0.08148519694805145,-1.0459929704666138,-1.493857979774475,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38173.0,44745.0,39719.0,39031.0,0,0,0,0,39974.328125,-2496.0,-3014.0,-1618.0
