time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,F,R,Z,B,C,X,S,T,Y,motor.m1,motor.m2,motor.m3,motor.m4,rpm.m1,rpm.m2,rpm.m3,rpm.m4,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw
10.7,2.023630142211914,-0.31784018874168396,0.508519172668457,0.0,0.0,0.0,0.21957914531230927,0.17581579089164734,0.8018442392349243,-0.017073405906558037,2.8585331439971924,0.5083361268043518,-0.28519493341445923,3.1678049564361572,2.0246636867523193,-3.241370916366577,2.8316292762756348,-0.3259730339050293,36866.0,42694.0,36552.0,37888.0,0,0,0,0,38500.40234375,-2863.0,-467.0,-1739.0
10.72,2.024278163909912,-0.33151739835739136,0.5081544518470764,0.0,0.0,0.0,0.2069368213415146,0.2167312353849411,0.7748756408691406,-0.017073215916752815,2.8585333824157715,0.5080117583274841,-0.2838011682033539,3.169198751449585,2.025451183319092,-3.246182918548584,2.826817274093628,-0.34251895546913147,36244.0,42002.0,37170.0,38292.0,0,0,0,0,38427.8671875,-1393.0,-2318.0,-1720.0
10.747,2.0254619121551514,-0.3463720977306366,0.5078551173210144,0.0,0.0,0.0,0.38240715861320496,0.22149547934532166,0.7654543519020081,-0.017072433605790138,2.8583247661590576,0.5106083154678345,-0.7662873864173889,3.168712854385376,2.0241198539733887,-3.2435367107391357,2.8254635334014893,-0.35662439465522766,35403.0,41021.0,36733.0,37879.0,0,0,0,0,37759.015625,214.0,-1741.0,-1600.0
10.76,2.0239696502685547,-0.36062926054000854,0.5107133984565735,0.0,0.0,0.0,0.46177273988723755,0.2514888048171997,0.7641729712486267,-0.017072785645723343,2.858304977416992,0.5098612904548645,-0.7647919058799744,3.170208215713501,2.024994134902954,-3.241889476776123,2.827110767364502,-0.36622166633605957,33831.0,38419.0,38567.0,40715.0,0,0,0,0,37883.140625,3223.0,-2378.0,-1590.0
10.78,2.0238068103790283,-0.3693664073944092,0.5099780559539795,0.0,0.0,0.0,0.26197436451911926,0.2688503563404083,0.7694716453552246,-0.017073338851332664,2.858304262161255,0.5099780559539795,-0.7649850249290466,3.170015335083008,2.024077892303467,-3.2425854206085205,2.8264148235321045,-0.378359317779541,35705.0,41933.0,36579.0,37251.0,0,0,0,0,37867.96875,-1904.0,-2778.0,-1725.0
10.8,2.02402663230896,-0.38143065571784973,0.510087788105011,0.0,0.0,0.0,-0.0406835675239563,0.2581585943698883,0.7721002697944641,-0.01707303896546364,2.8581430912017822,0.5124883055686951,-0.8357602953910828,3.1702399253845215,2.023818254470825,-3.2317726612091064,2.8502273559570312,-0.3906024396419525,35642.0,41436.0,35758.0,36464.0,0,0,0,0,37325.32421875,-2743.0,-1549.0,-1598.0
10.82,2.0230789184570312,-0.3913659453392029,0.5124804377555847,0.0,0.0,0.0,-0.0875808522105217,0.2890874147415161,0.7668358087539673,-0.017073078081011772,2.8581113815307617,0.5114057660102844,-0.8361631631851196,3.16983699798584,2.023003101348877,-3.2303218841552734,2.8516781330108643,-0.39532819390296936,35998.0,40146.0,36404.0,37912.0,0,0,0,0,37615.91015625,-1428.0,-1321.0,-1543.0
10.84,2.0230724811553955,-0.39993569254875183,0.5115488767623901,0.0,0.0,0.0,-0.09168002009391785,0.2955312430858612,0.7711420655250549,-0.01707347296178341,2.8581109046936035,0.5116721987724304,-0.8351876735687256,3.1708123683929443,2.0233371257781982,-3.2299344539642334,2.8520655632019043,-0.40620362758636475,35546.0,40662.0,36858.0,37710.0,0,0,0,0,37694.265625,3689.0,-744.0,-1721.0
10.86,2.0234899520874023,-0.4141845703125,0.5117637515068054,0.0,0.0,0.0,-0.024498211219906807,0.2609739601612091,0.7943134903907776,-0.017073269933462143,2.8581111431121826,0.5118580460548401,-0.8546434640884399,3.170356512069702,2.022974729537964,-3.2198195457458496,2.829181432723999,-0.42197656631469727,33957.0,37873.0,37723.0,40255.0,0,0,0,0,37452.43359375,588.0,-1787.0,-1640.0
10.88,2.0236573219299316,-0.42477694153785706,0.5132315158843994,0.0,0.0,0.0,-0.17230533063411713,0.2467726469039917,0.8046451807022095,-0.017073525115847588,2.8580241203308105,0.5133752226829529,-0.8544692993164062,3.1705305576324463,2.022806406021118,-3.220074415206909,2.8289265632629395,-0.4278401732444763,34519.0,40393.0,37685.0,38363.0,0,0,0,0,37740.5390625,-1024.0,-2445.0,-1659.0
